,OBJECTID_1,HMGNS_LN_1,LGA_SHORT_,RGN_LONG_N,ROAD_NBR,DECLARED_R,LOCAL_ROAD,RMA_CLSFCN,SRNS_CD,ALLVEHS_AA,TRUCKS_AAD,SEAL_WIDTH,Surface_Ty,HATI_Categ,Texture__L,Texture__B,FLOW,Roughness_,Rutting_Ca,Cracking_C,rx5d_gwl-current,tn02_gwl-current,tx40_gwl-current,tgm_max_gwl-current,tgm_min_gwl-current,spi3_gwl-current,rx5d_gwl-1.5,tn02_gwl-1.5,tx40_gwl-1.5,tgm_max_gwl-1.5,tgm_min_gwl-1.5,spi3_gwl-1.5,rx5d_gwl-2.0,tn02_gwl-2.0,tx40_gwl-2.0,tgm_max_gwl-2.0,tgm_min_gwl-2.0,spi3_gwl-2.0,rx5d_gwl-3.0,tn02_gwl-3.0,tx40_gwl-3.0,tgm_max_gwl-3.0,tgm_min_gwl-3.0,spi3_gwl-3.0,link_length,NON_TRUCKS_AADT,road_link_id,geometry
count,7579.0,7579,7579,7579,7579,7579,7579,7579,7579,7579.0,7579.0,7579.0,7579,7579,7579,7579,7579,7579,7579,7579,7579.0,7579.0,7579.0,7579.0,7579.0,7579.0,7579.0,7579.0,7579.0,7579.0,7579.0,7579.0,7579.0,7579.0,7579.0,7579.0,7579.0,7579.0,7579.0,7579.0,7579.0,7579.0,7579.0,7579.0,7579.0,7579.0,7579,7579
unique,,5327,82,7,882,867,1365,3,5,,,,7,2,2,2,8,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,7579,7552
top,,HUME FREEWAY btwn HUME FREEWAY Onramp & HUME FREEWAY Offramp,GEELONG,METROPOLITAN SOUTH EAST REGION,2510,PRINCES HIGHWAY EAST,PRINCES HIGHWAY,AO,N,,,,Asphalt,Good (for <2.2 HATI),Poor (for <1.3mm),Poor (for <1.3mm),NORTH BOUND,Good (for <3.4IRI),Good (for <10mm),Good (for <10%),,,,,,,,,,,,,,,,,,,,,,,,,,,14649_1,"LINESTRING (2509091.9970000014 2398831.5879999995, 2509127.3379999995 2398806.2749999985, 2509164.5810000002 2398782.5080000013, 2509266.450000003 2398717.6220000014, 2509282.476999998 2398712.278999999, 2509302.5539999977 2398715.017000001, 2509318.0680000037 2398724.142999999, 2509328.1059999987 2398742.392999999, 2509334.4949999973 2398762.471000001, 2509333.5820000023 2398779.8099999987, 2509321.9409999996 2398795.5119999982)"
freq,,32,349,2308,318,217,223,4462,3027,,,,3847,5371,4641,4225,1665,5040,6436,4579,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3
mean,6893.171658530149,,,,,,,,,11459.043013590184,920.2972687689669,9.746193431228395,,,,,,,,,70.65029089003966,9.984538276290916,1.4979614615245678,15.413854759555036,14.938885159822227,16.08766637221037,71.47417826100421,8.321772884567592,1.7070981652007744,15.824038909091342,15.163931553592052,18.494393789551957,73.349167426631,6.775104321359657,2.4676785800994807,16.460385713248836,15.520951765228514,20.65080867513535,74.28961497354496,4.00997380663145,3.932431409750058,17.671065859680287,16.30551892339312,24.702887870704153,3401.0236349982565,10538.745744821217,,
std,4215.836106580731,,,,,,,,,14164.9021970612,1377.898414259063,3.4920211672593537,,,,,,,,,9.881839301630015,12.463496482347844,1.52427870202429,0.8730603715211768,0.8264962360807154,1.1106119365561586,9.88142642620074,10.90416530140228,1.8714855225547464,0.8741233174952455,0.8287519221277958,1.15380072339716,10.19602671075258,9.490493779766387,2.322220335681927,0.8477403858934385,0.8236147425881214,1.9521036720701606,9.8417381489079,6.379342639050593,3.272914537336106,0.8568402361952295,0.8323662976915303,3.6725145399245287,7874.9137191240425,12968.35164196742,,
min,1.0,,,,,,,,,2.0,1.0,2.5,,,,,,,,,48.04092873467339,0.0,0.004761904761904762,10.302311761038643,9.76758066813151,13.75,48.68046951293945,0.0,0.009523809523809525,10.76471978142148,10.060813744862875,15.416666666666666,47.75078201293945,0.0,0.01,11.546011288960775,10.432903516860236,15.833333333333334,48.1761720445421,0.0,0.02,13.043301173618861,11.41126146770659,15.833333333333334,0.004123105849689928,1.0,,
25%,3206.5,,,,,,,,,2300.0,213.0,7.19999981,,,,,,,,,64.5433578491211,1.95,0.8,15.082269191741943,14.6201753616333,15.416666666666666,66.07109069824219,1.25,0.9214285714285715,15.492121696472168,14.827462832132976,17.73268398268398,68.7789077758789,0.775,1.375,16.1374568939209,15.19314193725586,19.166666666666668,69.2710952758789,0.3,2.325,17.330817699432373,15.965651512145996,22.083333333333332,372.2665967139433,2079.0,,
50%,6603.0,,,,,,,,,7800.0,527.0,9.30000019,,,,,,,,,69.99062728881836,3.6,1.15,15.579312324523926,15.118507385253906,15.833333333333334,69.79219055175781,2.7,1.25,15.984416007995605,15.359086990356445,18.333333333333332,73.17519760131836,1.7,1.95,16.597426414489746,15.701022148132324,20.416666666666668,73.12083435058594,0.6785714285714286,3.2,17.779601097106934,16.458057403564453,23.75,892.542684452254,7193.0,,
75%,10635.5,,,,,,,,,15000.0,1000.0,11.60000038,,,,,,,,,74.59375,15.562727272727273,1.4,15.898829460144043,15.408012390136719,16.666666666666668,75.5453109741211,13.0,1.5,16.29414939880371,15.619285583496094,19.166666666666668,77.99062728881836,10.348958333333334,2.275,16.875513076782227,16.005619049072266,21.666666666666668,78.6626968383789,5.7,3.9,18.09139633178711,16.792725563049316,27.5,2046.0445004976505,13659.0,,
max,14649.0,,,,,,,,,119000.0,13000.0,37.29999924,,,,,,,,,156.23796997070312,116.62142857142858,10.85,18.55236879984538,18.077206293741863,20.625,157.30047302246095,108.65714285714286,13.116666666666667,19.075241088867188,18.298985799153645,23.958333333333336,163.5634338378906,99.69285714285715,16.7,19.71449152628581,18.59004847208659,27.291666666666664,159.0878646850586,76.79285714285713,22.8,21.20745340983073,19.785489400227863,36.25,109044.46510851326,108000.0,,
